checkpoint,cumulative,order
Campbell Airstrip,11,1
Nenana,71,2
Manley,161,3
Tanana,227,4
Ruby,346,5
Galena,396,6
Huslia,478,7
Koyukuk,564,8
Nulato,586,9
Kaltag,633,10
Unalakleet,718,11
Shaktoolik,758,12
Koyuk,808,13
Elim,856,14
Golovin,884,15
White Mountain,902,16
Safety,957,17
Nome,979,18
